prtID,PostSNSpostID,TagTagID
1,1,1
2,2,2
3,3,2
4,3,3
5,6,4
6,9,5
7,10,6
8,13,7
9,13,8
10,13,9
11,13,10
12,13,11
13,13,12
14,13,13
15,13,14
16,13,15
17,13,16
18,13,17
19,13,18
20,13,19
21,13,20
22,13,21
23,13,22
24,13,23
25,13,24
26,13,25
27,13,26
28,13,27
29,13,28
30,13,29
31,13,30
32,13,31
33,13,30
34,13,32
35,14,33
36,14,34
37,14,35
38,14,36
39,14,37
40,14,38
41,14,39
42,14,40
43,14,2
44,14,41
45,14,42
46,14,43
47,14,44
48,14,45
49,14,46
50,14,47
51,14,48
52,14,49
53,14,50
54,14,51
55,14,39
56,14,52
57,14,53
58,14,54
59,14,55
60,14,56
61,14,57
62,14,58
63,14,59
64,14,60
65,15,61
66,15,62
67,15,63
68,15,64
69,15,65
70,15,66
71,15,67
72,15,68
73,15,69
74,15,70
75,15,71
76,15,72
77,15,73
78,15,74
79,15,75
80,15,76
81,15,77
82,15,78
83,15,79
84,15,80
85,15,81
86,15,82
87,15,83
88,15,84
89,15,85
90,15,86
91,15,87
92,15,88
93,15,89
94,15,90
95,15,91
96,15,92
97,15,93
98,16,16
99,16,18
100,16,17
101,16,7
102,16,94
103,16,95
104,16,96
105,16,97
106,16,98
107,16,99
108,16,100
109,16,101
110,16,102
111,16,24
