SNSUserID,SNSType,accountID,userName,followersCount,postsCount
1,Twitter,46757590,yankees,2202290,5008
2,Twitter,46782831,dodgers,1938260,12181
3,Twitter,47288466,raysbaseball,264761,7638
4,Twitter,4479471161,_gregbird33,107617,46
5,Twitter,10499719502,dj_lemahieu,5733,3
6,Twitter,22537656,zbritton,4624,8
7,Twitter,968241051,maxmuncy,108437,87
8,Twitter,411189114,theteenager7,231970,119
9,Twitter,227542089,cody_bellinger,495636,124
10,Twitter,43395861,arroyoc22,16459,213
11,Twitter,33477641,austinmeadows13,12224,401
12,Twitter,1721494190,heredia54,12420,156
13,Twitter,7809477888,yankees_judge99,110,15
14,Twitter,245750021,deathrownmate,2137,341
15,Twitter,1255397788,the_ultimate_baseball,18328,2626
16,Twitter,47385796,solotx,2219,11392
