personID,personName,locationID
1,Alexander David Bregman,4
2,Carlos Javier Correa,5
3,José Carlos Altuve,5
4,Nicholas A. Castellanos,6
5,Jose Miguel Cabrera,7
6,Jeimer Candelario,8
7,Elvis Augusto Andrus,9
8,Hunter Andrew Pence,5
9,Nomar Shamir Mazara,5
10,"Stevie ""GO-Stros"" ⚾Proud Houston Astros Fan⚾",10
11,Sean Salisbury,11
12,Jejee Nateesathitarn,12
13,Intertops,13
14,deana reyes,14
15,Dominique Carrizales,15
16,Jose C. Herrera Jr.,5
17,🎚🎚Serve & Encourage 🇺🇸🇺🇸 #MAGA 🐇 #TheStorm,16
18,『 ✰ ꙎꙎ = 범뱀 ✰ 』,5
19,The Sean Salisbury Show,14
20,ดงมินของน้องง💜🌠,5
21,Light,5
22,djredbull,17
23,Roman Fan girl😍❤,18
24,Dawn,19
25,อยากกินบัวลอย,5
26,Brandon 🚀,20
27,Brantley Blogger (Here B4 the Bandwagon) [Retired],21
28,minmei,22
29,นางคว้าเอ็ม 💫,5
30,kaemhom,23
31,Kanun_2003,5
32,ลัทธินมกล้วย,24
33,☆,25
34,JUM__P,5
35,film445566,5
36,แสงแดด,5
37,เป็นบ่าวเรือนลิซู,26
38,Aroha💜🇹🇭Moonbin'😺 문빈,27
39,I’m Ray,5
40,Nick Casas,5
41,LTH (Loyal To Houston),89
42,ᴍᴀʜᴇʀ 🚀,28
43,Sarah,5
44,nete bab,5
45,Ethan Perez,5
46,Martin Orozco Sr.,5
47,Larry B.,5
48,Ian Howard,29
49,Rocio Contreras,30
50,Dr. Linda Zamarripa,5
51,Coogs ‘N ‘Stros,31
52,Brittney princess 🎀 ◟̽◞̽,5
53,Laura Lewis,5
54,Gemma,5
55,Sophie Rangel,5
56,Carsten Helssen,32
57,ALYSSA KALLIES,33
58,Whisky Con Cacahuates,34
59,Emery Gol,35
60,Shad Morales,14
61,Capped Sports,36
62,Astros Stats,14
63,Audrey I. Harlow,5
64,DG,37
65,Baseball Lawyer,14
66,Colin Ward,5
67,Mikecharro,5
68,ChronAstros,38
69,Veloryun Herford,39
70,I ❤️ Yuli Bregmance,5
71,Talking Stros,14
72,Locked on MLB,5
73,Jesús  Arenas,5
74,Fernando Ballesteros,40
75,Locked On Astros,38
76,Eric Huysman,41
77,Kiara Doritos,5
78,✭Cory ✭,42
79,Michael M. DeLeon ✌,14
80,Gaby Claros,43
81,Shaun Lang,44
82,Aaron,46
83,Astros Fans UK,45
84,Mindsanders,46
85,AstrosShow,5
86,Centrefield Sports,47
87,Janine,5
88,Indians Baseball Insider,48
89,JAY,5
90,Adam Schabel,49
91,Dan Shedd,14
92,Martha Jacks,50
93,The Woodlands,5
94,Chad Miller,51
95,Jessica  #TakeitBack# 🧡⚾️💙 (🚀🏀🚀),5
96,B_Brock,52
97,John Sani,53
98,AT&T SportsNet SW,38
99,bethany,5
100,libby🤪,5
101,Skylar Seiber,48
102,The Q,54
103,Lane Sanders,55
104,El Vrother,56
105,Herman Franks,57
106,Kenneth Lindsey,58
107,Bostic Walter,5
108,Shae👸🏼,59
109,Carmella Bliss Kingston,60
110,Benjamin Bills,5
111,Marcus Oriobosa,61
112,Bianca Medina,14
113,luke moore,5
114,Chawan Bahd,62
115,Tom Budgen,63
116,Drakejunior,5
117,al 👩🏻‍🦰,64
118,Therese Walker,65
119,Yujeong Ha,5
120,Mama Ninfa @astros mom!,66
121,Kevin Rea,67
122,Bryan,68
123,Kelley Kastorff,69
124,JMC 🇵🇷,70
125,Matthew Mendez,71
126,Rankin White,46
127,Amber Dawne Farmer,72
128,bootstomper,73
129,fantic,74
130,Rafael Garcia,75
131,Joe Leahy,14
132,Lex,38
133,Sharks fan account number 1,5
134,Bot of the year,76
135,@Cpenny81,5
136,Mathew Harrison,5
137,Susan,56
138,Alex 🇲🇽,14
139,lilysfca,77
140,salt water panda,5
141,Joseph Mock,78
142,Sofia👑,79
143,Pasha paul,80
144,Shawn Reynolds,81
145,Grant Mason,82
146,OswaldVidales,83
147,ERIKA KANE💚,14
148,Jim Nies,84
149,Dusty Vandenberg,35
150,Evan Grant,85
151,TODD #fotodd,86
152,Houston Astros Orbit,1
153,Chris,5
154,Qu33nn_Leader1248,5
155,Kristel ,5
156,Jerome Butler,87
157,George Rhoads,38
158,Chris Santos,5
159,Victoria Denault,88
160,Johanna Mecum,90
161,Benny Abad,91
162,Teddye,5
163,GabbifromTx.,59
164,Rachael Y Stanley,5
165,NGSC Sports LLC,15
166,PollMaster,15
167,Robert Avila,5
168,NBA Eagle Eye,92
169,Bianca ✨,93
170,Chriztian_Gamboa,5
171,Yung J,94
172,Fréddy_,95
173,H,71
174,Retta Lopez,96
175,🌻Victoria Herrera🐾,5
176,Fox Verdun,97
177,Teshawn LeVarr Edmonds,98
178,عاشر Barlas,99
179,Sic’ Em Bears,100
180,Jay,7
181,NONSOSON,102
182,上虎@人工呼吸器が必要な難病筋ジス寝たきり患者【ゲーム大好き】,5
183,Vaggelio,103
184,くろしろ猫=虎党のグリーンウェル＠藤浪君を見守り隊,104
185,ILoveChrist十,105
186,Taku,106
187,Faisal.A #2030,107
188,William Hronis,5
189,eli,5
190,chiyozukin1128,5
191,ユーキ。,108
192,Fabio,5
193,諦小,5
194,Tigers Tübingen,109
195,あきかん(5/8秋山完封勝利),110
196,新庄直行,111
197,meme,5
198,Today in MLB,5
199,MMP,5
200,Frank Millerick,112
201,プロ野球大好き娘,113
202,The Tigers Army Para Team,112
203,Misty,114
204,北条和規a.k.a.毛利和親,115
205,はなほ 4.28ナゴド参戦,5
206,たくみ,5
207,はやみ,116
208,John Willy,117
209,とらマダム🐯💗 ＧＷ１週間広島に帰省、低浮上気味😅,118
210,Christina lida,119
211,vetmart,5
212,ゆち虎,5
213,kara reckard,5
214,阪神タイガースあるあるbot,120
215,JERSEIST CHANNEL,5
216,Philip hilton yogi back up account,121
217,にっこ,122
218,おかん,5
219,8連敗,123
220,♘♗White Guy♔👊🏻🤠👌🏻,5
221,chitour hadj said,124
222,ccat1,5
223,たけと,5
224,和桧,125
225,aki✨tigers✨,5
226,The Annoying Peasant,126
227,Ditihalo Corban Mmusi,127
228,Javier Martinez,128
229,Knowledge is not Wisdom,5
230,FRANCE 24,129
231,猛虎の魂2019 〜過ちて改めざる是を過ちと謂う〜,130
232,BBC Shropshire Sport,131
233,岸本 知大,132
234,塔威@阪神タイガース垢,133
235,週刊ベースボールONLINE,5
236,ゆーだい#25🐯,134
237,虎キチ🐯5/2甲子園⚾,5
238,てらやん,5
239,🐟チャリコ遠藤🐟スポニチ虎番🐟,5
240,はや🐯虎党,135
241,プロ野球ドラフトbot,5
242,STSdra,5
243,ポッキーラブ,136
244,文春野球,5
245,ダルー。＠虎垢,137
246,GENさん✟✞,5
247,Stacy Morrison,5
248,しーと,5
249,Johirabbas,138
250,BHSPrincipal,139
251,syoudai,5
252,プロ野球通算成績bot,5
253,虎バン主義 髙山 藤浪  才木君 好き,140
254,sharon,5
255,虎人,133
256,トトロヒーロ (岡山),97
257,ちな虎やが🐯,5
258,Brian Lilly,141
259,オフサイド,122
260,CptMLB,5
261,Phoebe Wall Howard,7
262,harvey,142
263,Tori Myers,143
264,Gamble with RON_Encore Boston Harbor Casino,144
265,Kalan J. Weingartz,145
266,Isles,5
267,Bill Lenney,146
268,Zoe Etheridge,141
269,Colin,147
270,Tyrus Raymond Cobb,148
271,UTAH JAZZCABBAGE,149
272,riko,150
273,Joey Eberlein,151
274,Bertha Laird,152
275,Sports Report,153
276,autumn gruber,154
277,Decline Phase,5
278,Bygone Ballgames,155
279,Drew DeArmond,156
280,Mack Foley,157
281,Allie,5
282,2bigboys.com,158
283,Greg,159
284,Zachary Costa,160
285,Charity ❤,161
286,deebs.,162
287,Brandon Pirrone,5
288,Regina Wu,159
289,Mitchell Paul,159
290,“nick”,5
291,Yannis,5
292,Paul Zeise,163
293,Chefster McSwagbat,164
294,joe janecek,165
295,sopwith0913,5
296,Dmitriy,166
297,Vasu Vaddiparty,167
298,Seamus Florin,168
299,jAyDeE,5
300,Philly Phreedom,169
301,Robert Gasperoni,170
302,John Cole,36
303,Holleigh Reed,171
304,lumpy,5
305,makebankbro,5
306,Mr Haney,145
307,A kusmog's work is never done.,172
308,EM CST ]V[ FAN CLUB,173
309,President Macohe,174
310,Ben Berry,5
311,Kirk Honore,175
312,Christine,57
313,Kansas Jankowski,145
314,kidimyourgodfather,5
315,sportsshift,176
316,Tony Pascarella,177
317,Ryan Brasier Fan,5
318,Li'l General Convenience Stores,5
319,Rachael,178
320,wayne,179
321,Ashleigh Walters,5
322,The Patty G✊,5
323,scotty p,180
324,Roger Goode,181
325,Andrew Elliott McBurney,182
326,Laurie,183
327,Jarrod Goldman,5
328,Heidi Finan,5
329,Lindy's TAVERN - GOOD TIMES • GREAT PEOPLE,184
330,Michael Hager,185
331,Mireya Hughes,5
332,Melanie Harrington💕,186
333,Chris Guzman,159
334,Aya K.,187
335,Erik,5
336,Kathy Anderson,5
337,Luis Angel Silva,188
338,chico crout,5
339,Tanya.,189
340,Edward Devine,190
341,([{S██ttyRayJ}])🚡,5
342,Jose Luis Alfinger,191
343,➕💫🌼 Wendy 🐹💪⚾,5
344,c h e e s e☪︎,192
345,Cruz Velasquez,5
346,TN VN,193
347,The Oakland Press,194
348,Jake Donovan,6
349,Gary Armour Watson,195
350,Derek Mann,5
351,FitbaStats Cowden,196
352,RFC Bear,195
353,Aaron Pengelly,5
354,FitbaStats Diamonds,5
355,⚜️Tariq M⚜️...😘,197
356,HITC Transfer News,198
357,FitbaStats Livi,196
358,FitbaStats Clyde,196
359,IJT 1964,5
360,Jeff Kenneth Navales,199
361,jack,200
362,NT-SOCIALMEDIA,201
363,Big Life Foundation,202
364,William Catlow,5
365,Kyle Morrison 🇬🇧,5
366,FitbaStats 3rdLanark,5
367,gary mcdougall,203
368,Rangers News Hound,204
369,mustapha Hadee,205
370,KieranScott,206
371,The Chaplain,45
372,Alain Duez,207
373,Dizzy,5
374,Taylir,208
375,Betting Directory,141
376,Luke Bridgwater,209
377,SC🔌,5
378,el rey,210
379,Sébastien Epiney,211
380,Kev Paterson,212
381,Bin_Wilayat,213
382,Slex,5
383,Fraser Gemmell,195
384,zak,195
385,june mcallister,214
386,Div,215
387,FitbaStats Spiders,196
388,Euan,5
389,Soccertees,45
390,A$VP Decky,216
391,jimmy hooks,5
392,FitbaStats Motherwel,196
393,Every Other Saturday,195
394,Mark Irwin,217
395,LF,218
396,Poorman's Pressbox,219
397,AJ Jnr,45
398,KHADIR,5
399,Paul Millar,220
400,Countdracula,5
401,Scottie McClue,45
402,Sporting Memories Memorabilia,195
403,scottgall,221
404,That's Scotland's national stadium!,215
405,Stewart Weir,204
406,Stuart Cathro,222
407,Josh,215
408,Mark Everton Walters,223
409,siamscot,224
410,Glenn Davidson,225
411,Risborough Rangers,226
412,Jordan Skilling✌,227
413,Riverman37,5
414,The REALIST,215
415,Evan,5
416,UK American Sports,228
417,Ben bissett,229
418,TCU_HORNEDFROGS,11
419,TH,5
420,Michael B 🌎🗽🇺🇸🌊,230
421,Glenn Lennon👨,231
422,arran thamo,5
423,dylan hall,5
424,Paul Brown,198
425,Luke🦈,5
426,おーさん,5
427,alan cochrane,232
428,Callum O'Neill 💙💛,5
429,Kristian Skjäl Sanford,85
430,Keir Howie,217
431,Wee Davy Boy,233
432,//,5
433,J,204
434,| K ♡,234
435,D'Artagnan,196
436,kieza gee 🤙🏻,235
437,JordanCrook🤡,5
438,Jeff Wilson,236
439,Anne Ballentine,237
440,Myinty,238
441,Liam Jones💙,239
442,Stuart Davies,240
443,A Good Sports Show,117
444,Texas Rangers france,241
445,dan 🍓,242
446,Carlos,117
447,Wayne Gooden,243
448,Holly Caskey,59
449,NSC MLB ⚾️,244
450,Laura A. Craig,5
451,Dalai Lama,245
452,RelentlessWarrior,5
453,60secondswithfemi,246
454,O.J.E.I.K.E.R.E.,247
455,Iona E. Beyonce,5
456,Tony Wilson,248
457,Emily Rose,5
458,Beau Stewart,249
459,twitsandbox,5
460,Cori Cross,250
461,🌴🌴Tammy🌴🌴,251
462,NolanDraco,252
463,Jose Moreno,85
464,Texas Rangers News,253
465,Cameron Brown,5
466,pripyatboob,254
467,Taye Nichols,255
468,Pierre Bida,68
469,nope,5
470,Hawks Info,5
471,BayStars Info,5
472,jason Johnson,256
473,⚾SportsBelle⚾,257
474,Sonya Trevino,258
475,Skipper,5
476,🥕 tyra™ ¯\_(ツ)_/¯,259
477,Alberto,260
478,김종범,261
479,Andrew J. Moats,5
480,Kenny kratz,262
481,Rych Rage,263
482,Robert Ramirez,5
483,Lone Star Sports Daily / Cory Hogue,5
484,kobiyashi NOT maru,5
485,Connor,251
486,John Benedetto,11
487,Brenden Nichols,15
488,Kari Guzman 🏒⭐️💚🖤,264
489,Les Vegetables,5
490,Kathy Martin,5
491,Txguy,5
492,Jonathan Ng,87
493,Eric,5
494,Phil the Sod Poodle,11
495,jen ❥,5
496,Cameron Mueck,265
497,Chris Freeman,266
498,Donald Lovelady⚾⚾,267
499,Seattle Hawt Takes,5
500,Andrew,11
501,Gallop-a-Gus / Dr. Dash,268
502,BA-Dallas,5
503,Hugi Houdini,5
504,Marcel Myrick,269
505,Ryan Ritter,11
506,🌟VANE🌟,270
507,R,5
508,worst rotation in baseball,271
509,Sarah Lindahl,272
510,melissa meadows,273
511,Greg C,274
512,Mariners Memes,85
513,Tony Gonzalez,275
514,Marc⚾️Warden🗡Of The Park⚾️,276
515,Van Dutch,159
516,DJ BANDO ✞࿊,277
517,Kyle Bird,5
518,Travis Garrity,278
519,Ryan Frier,279
520,Jared Sandler,117
521,John K,5
522,Kevin Poppe,280
523,lovesbaseball,281
524,♏️arshall,5
525,Mirna,282
526,Ken Callihan,283
527,Amy E. Leigh,5
528,JJ,284
529,starya stark,285
530,Ashley ✨,14
531,Moi 🐴,14
532,Michael Sawyer,5
533,Jared,5
534,M♥H,14
535,🏹,14
536,catty g,286
537,Layken Woolls,287
538,Leidy Venegas,288
539,Heather,5
540,samm,5
541,Kim,52
542,Rica Martinez,289
543,Kathleen McGill,38
544,JimCook🇺🇸🤘,46
545,Gingerrr🌶,290
546,kelsi b💋,291
547,Rhett Butler,78
548,Daisy 🌼,14
549,giselle🥰,5
550,Devin Lehman,151
551,Kassandra💅🏻,5
552,guera 🌻,14
553,Hector Martinez,292
554,Bryan Kaye,5
555,Our STARS,42
556,sergio,293
557,Joel Hinojosa III,294
558,Put A Fyah,14
559,Kayla Sturm,59
560,Ted DeGaetano,57
561,Toran Shahidi,295
562,Ashleigh Lorraine,46
563,Markham Shaw Pyle,38
564,ImBack,296
565,Carlene Lindsay,5
566,𝚂𝙰𝚅𝙰𝙽𝙽𝙰𝙷 𝙼𝙲𝙳𝙾𝙽𝙰𝙻𝙳,5
567,Daphne Sonnenburg,5
568,Missy,14
569,Joshua,14
570,HTOWN Proud,59
571,jrob,5
572,brittany,5
573,Jon Taylor 高乔恩,297
574,Not Santa,298
575,PAPA MOOSE,14
576,lance b,5
577,Amy Rose,299
578,Tyler Alley,300
579,David Cain,301
580,Deidre Livingston,5
581,RPJensen91,14
582,Ava Addams,14
583,Mr. Conservative,15
584,Drew Sims,302
585,CDH Stars and Angels,5
586,Zac Campbell,14
587,David Horton,303
588,Tidal Sports Group,15
589,...,14
590,Smarta$$dad,304
591,Jason Columbus,305
592,Adam Wexler,14
593,AB for Autism,5
594,Dennis Koenck,14
595,Jose,5
596,Myra,5
597,Tish Columbus,5
598,Mel RD 𝘪𝘯 𝘌𝘣 🎼,14
599,orwall mom,5
600,daniela,306
601,AstroPharis 🧩,5
602,"JuliePassports, Etc.",307
603,Guz🧩,308
604,Cris S. Rosas,14
605,kim,309
606,Jeff Pickering,310
607,Mike Shaub,311
608,Luke,325
609,#iBleedOrioleOrange,313
610,CHOKEJOBS,5
611,Paula Varela,289
612,Astros R Us/Astros Gaggle,5
613,Dani,5
614,Bryan C. Parker,314
615,tinyaltuve,5
616,michael,5
617,John LaForge,5
618,Safi ✌👽💚🌈🐶🐶🐶,5
619,Chris6d,98
620,でぃぎー🐼,315
621,Terry Diane,11
622,Zach🤙🏻,316
623,giantsSuckSZN😢,5
624,m,5
625,Wikki,317
626,♥Darth Chipper,318
627,BOS & CHI = TITLETOWN,319
628,Jacob,5
629,Anthony Myhre,5
630,PadresGM,320
631,Armand,321
632,Dansby’s Flow,322
633,Jaydon Duval,323
634,Matthew,324
635,Tyler Hunter,5
636,Double H,14
637,Ben Tice,5
638,Worlds Strongest Mets Fan,326
639,🎼Amadeus 🎼Amadeus 🎼ohoh,327
640,JF 🐾,328
641,Bonnie Stull,329
642,2017 Giancarlo Stanton,330
643,~Z~,331
644,sam wilson • 30 days,332
645,ĸɇmP,333
646,Sara Sanchez ⚾,334
647,Astros Rants,5
648,Michael Stout  📺,335
649,Indians Lineup,5
650,Astros Lineup,5
651,Roberto Castro,336
652,Corrie Roman,73
653,sadena.,337
654,danielle,5
655,Roy Hobbs,338
656,Eli🤪,339
657,Francisco Romero,14
658,Johnny O,5
659,98.7 The Block,340
660,Pueblo HS Athletics,340
661,Rob ❄️🐉,329
662,Dominic Grant,329
663,Hickman,5
664,Lucas Hughes,14
665,Amazing Greis,341
666,Make Queso Free Again,5
667,Lugo,59
668,LP,5
669,✰leila ✰,14
670,Valerie,342
671,Taylor Alyssa,14
672,Jacqueline Flores,343
673,a,5
674,Lori Gutierrez,14
675,devy,344
676,rudytech2009,5
677,✌🏼,14
678,🎀  𝐵𝓇𝒶𝓃𝒹𝓎 𝒲𝒶𝑔𝓃𝑒𝓇  🎀,345
679,Lucy Trevino,346
680,dori,14
681,Scott Barber,5
682,Steve Lewis,347
683,Chucky,348
684,DrunkBucky,349
685,Ron Buford,350
686,Hérc 👑,351
687,Dave McCann,352
688,Mrs. Garcia,353
689,Cam,15
690,Rob Williams,5
691,Cody Phillips,354
692,👩🏽‍🍳 Chef RaiMichelle ⚜️,355
693,⚜Kevin O'Connor⚜,356
694,Taysom Hill,357
695,John Fitch,358
696,Aaron Wilkerson,5
697,Mark Berman,14
698,B@yron S@ndoval,359
699,Joe Brady King,360
700,Chris Hamre,83
701,Typical DK || #ParallelLPB,5
702,Sims Fitness,11
703,Jose Luis Rodríguez A,361
704,Joe Levine,362
705,"Hey its me, ya boi.",5
706,Stephanie Parady,5
707,Jon Dixon,363
708,ARMANDO DE LEON SILV,5
709,Ms. Chan's Class,16
710,Oswaldo Jose Arraez,361
711,Billy Sims,364
712,Anderson Goodman,365
