SNSUserID,SNSType,accountID,userName,followersCount,postsCount
1,Twitter,52803520,astros,1455653,72000
2,Twitter,30008146,tigers,1453071,49251
3,Twitter,40931019,Rangers,1426982,43627
4,Twitter,382708289,ABREG_1,242213,7895
5,Twitter,2811330143,TeamCJCorrea,221551,740
6,Twitter,424695908,JoseAltuve27,233906,236
7,Twitter,546991634,Ncastellano22,236,323
8,Twitter,220336959,MiguelCabrera,1191016,1542
9,Twitter,1375151137,jeimer24C,13192,372
10,Twitter,568612380,ElvisandrusSS1,258822,3667
11,Twitter,168735527,hunterpence,675777,6099
12,Twitter,285887026,NomarMzra26,20287,986
13,Twitter,1112135697966743552,StevieProud,893,743
14,Twitter,179760789,SeanUnfiltered,31229,53377
15,Twitter,894788439769350144,Jejeepth,10,1393
16,Twitter,19094501,Intertops,4424,22890
17,Twitter,2225450191,deanareyes13,13,1246
18,Twitter,1037332380481204226,Dominiq49787136,93,1568
19,Twitter,1899305683,UT_Longhorns,152,211
20,Twitter,24911049,Danagarnett,3800,10720
21,Twitter,1085788672727777280,Cutie_Bmee,45,3161
22,Twitter,817121097003008000,SSalisburyShow,4732,13354
23,Twitter,1102190074144292864,TIK_dongmin,99,2820
24,Twitter,927812480616644608,Bam67075298,17,3950
25,Twitter,436811501,Djredbull_,227,3371
26,Twitter,1076686945516847105,GirlRoman,22,1024
27,Twitter,16145470,phxastrosgrl,273,3300
28,Twitter,907542209657847808,happybdtyou2020,29,3257
29,Twitter,895089118576877568,bderp_25,144,1301
30,Twitter,24055011,clevelandgirl23,176,9320
31,Twitter,1097462678262472704,mmmxqt,16,1028
32,Twitter,949114455643664385,Wariss_s,123,585
33,Twitter,1080308223414947840,kaemhom53904391,22,3884
34,Twitter,916537815810195456,Kanun_2003,0,27
35,Twitter,934247750912286720,Pattira68153204,23,26908
36,Twitter,892752161523679233,ASTRO_INMY_MIND,4,1129
37,Twitter,1086568809807306752,pnzxq,19,684
38,Twitter,1107600062354325505,film445566,5,149
39,Twitter,901106795749429248,saeng18y,30,9552
40,Twitter,1001384112039477248,Soo03876085,32,4822
41,Twitter,809231611883466752,momayaggt,103,5316
42,Twitter,972478522802429952,rayywrt,1,258
43,Twitter,1013930288,NickCasas,105,3218
44,Twitter,1074577694401159169,loyaltohouston1,569,12335
45,Twitter,145517775,LilMaccc,1011,134521
46,Twitter,3024540654,BazingaBBG,340,30562
47,Twitter,106473096,ntebdwa,25,13548
48,Twitter,785152307000258560,theme_park98,32,877
49,Twitter,2398587702,crespibaseball4,116,502
50,Twitter,74384459,Thee_LB53,2606,262846
51,Twitter,265191012,ballnightlong,216,2952
52,Twitter,1115748768,CRocioContreras,440,24422
53,Twitter,1114802646,ZamarripaLinda,85,1128
54,Twitter,879598241737789440,Dirty3rdAstros,496,19900
55,Twitter,307702713,BrittneyJRose,13,28250
56,Twitter,3869348480,chicle698,56,973
57,Twitter,1107362578571902976,inprenolac,16,340
58,Twitter,3869268614,broadrobbins694,82,1024
59,Twitter,719473219045093381,carsten_helssen,208,1146
60,Twitter,972993330,slim10lys,1612,15020
61,Twitter,104661624,Maikvargas,136,5337
62,Twitter,285899517,EmreTX,229,12646
63,Twitter,1890189354,ArchLinHamada14,156,25467
64,Twitter,1655488052,CappedIn_Feed,4762,57798
65,Twitter,345602945,astro_numbers,1357,4768
66,Twitter,1108259591484293120,aspelcilo,11,268
67,Twitter,483253052,DGtheGrandDaddy,432,4347
68,Twitter,296338695,Bballlawyer,1933,25893
69,Twitter,1047540077436588032,Colinward_14,45,91
70,Twitter,1065023850432421888,Mikecharro1,119,3980
71,Twitter,851536909,ChronAstros,12421,21455
72,Twitter,774420018498985984,Rickneal13,37,31
73,Twitter,1004478419529293824,AstrosNVinoGal,983,14953
74,Twitter,4501982473,TalkingStros,4070,9028
75,Twitter,912826728371838976,LockedOnMLB,374,3046
76,Twitter,246110863,movbrowniano,182,6499
77,Twitter,343845281,purobeisbolfb,27012,61212
78,Twitter,1108062156749197312,LockedOnAstros,213,160
79,Twitter,2869714790,EricTalksStros,2788,16949
80,Twitter,3474674058,kiara_doritos,68,1677
81,Twitter,326572116,Cory2287,617,20644
82,Twitter,152900954,deleonmm,140,12417
83,Twitter,1015894382,gach_98,346,2274
84,Twitter,1152452377,shaunlang24,62,1947
85,Twitter,821086455225143297,HouMoogle,344,19094
86,Twitter,878015332962754560,AstrosFansUK,2182,19964
87,Twitter,81515151,mindsand,83,2333
88,Twitter,1016227852587585536,AstrosShow,27,837
89,Twitter,244814883,cfssports,2551,2081
90,Twitter,2845495748,beaner23x3,40,513
91,Twitter,36152358,Official_IBI,7839,47091
