tagID,tagText,tagType
1,Astros,hashtag
2,TakeItBack,hashtag
3,Indians,mention
4,ABREG_1,mention
5,ATTSportsNetSW,mention
6,SportsTalk790,mention
7,HometownHero,hashtag
8,WellsFargo,mention
9,ChampionEnergy,mention
10,ChickfilA,mention
11,RealJoshReddick,mention
12,FANtasticFriday,hashtag
13,RunAsOne,hashtag
14,HTownPride,hashtag
15,JVDay,hashtag
16,TakeitBack,hashtag
17,astros,mention
18,jtemanrx,mention
19,MinuteMaid,mention
20,BraunStrowman,mention
21,WWE,mention
22,MLBTwitterHitter,hashtag
23,MLB,mention
24,PaulsRockinTwit,mention
25,MethodistHosp,mention
26,CarrytheFreight,hashtag
27,AstrosTrainGuy,mention
28,AkidnamedGeorge,mention
29,JoseAltuve27,mention
30,GeorgeSpringer,mention
31,Mackdaddy929,mention
32,HouOpenGolf,mention
33,blummer27,mention
34,cesar_pinedo10,mention
35,marwinGF9,mention
36,JuliaMorales,mention
37,AstrosArt,hashtag
38,brianmctaggart,mention
39,Hondo317,mention
40,twadyko,mention
41,HEB,mention
42,SPRINGERDINGER,hashtag
43,KempinAintEasy,hashtag
44,MaxStassi10,mention
45,Pluckers,mention
46,AstrosStars,mention
47,OpeningNight,hashtag
48,WoodpeckersNC,mention
49,ArtInstituteHou,mention
50,donkeeboy,mention
51,PPGPaints,mention
52,TakeFlight,hashtag
53,robertreidryan,mention
54,SegraStadium,mention
55,SegraStadium,hashtag
56,AstrosGolf,mention
57,CocaCola,mention
58,Netspend,mention
59,Collin_McHugh,mention
60,Jackie42,hashtag
61,tonykemp,mention
62,JustinVerlander,mention
63,JackieRobinsonDay,hashtag
64,robinson28ch,mention
65,CarryTheFreight,hashtag
66,HoustonRockets,mention
67,TigerWoods,mention
68,ddddeevvvoooo,mention
69,AstrosAllAcess,hashtag
70,StubHub,mention
71,AstrosMoments,hashtag
72,Lexus,mention
73,trvisXX,mention
74,TeamCJCorrea,mention
75,jluhnow,mention
76,nationalsiblingday,hashtag
77,ben_verlander,mention
78,HtownWiggy,mention
79,LMcCullers43,mention
80,GerritCole45,mention
81,lilstina05,mention
82,AstrosAssist,mention
83,SPXcoachjohnson,mention
84,espn,mention
85,RRExpress,mention
86,roundrock,mention
87,Statcast,hashtag
88,NolanRyanBeef,mention
89,NewEraCap,mention
90,cat_falgout,mention
91,pattersonbrent1,mention
92,AndyfromTWITT3R,mention
93,johngranato,mention
94,Htown,hashtag
95,wishyouwerehere,hashtag
96,AstrosFutures,hashtag
97,CincoJared,mention
98,josh_james63,mention
99,el_yuly10,mention
100,tylercstafford,mention
101,Lee_White73,mention
102,ASTROWORLD,hashtag
103,AstrosOpener,hashtag
104,SacramentoKings,mention
105,3rdcoastBz,mention
106,agee_brad,mention
107,JTCREEK99,mention
108,dkdeberry,mention
109,implantee,mention
110,ASTROSOPENER,hashtag
111,KyleKingOnAir,mention
112,AnGiE_25,mention
113,Trevmaman12,mention
114,budweiserusa,mention
115,MrJoshLikeABoss,mention
116,CertaPro,mention
117,MiLBOpeningNight,hashtag
118,MiLB,mention
119,cchooks,mention
120,QCRiverBandits,mention
121,ValleyCats,mention
122,AstrosGrande,mention
123,statcast,mention
124,RavenMota09,mention
125,mitchell_ness,mention
126,LasMayores,mention
127,LosAstros,mention
128,SpringerDinger,hashtag
129,KristenAMarquez,mention
130,20STROng,hashtag
131,2017WSCHAMPIONS,mention
132,RunFlores,mention
133,JakeDay,hashtag
134,AstrosFansUK,mention
135,Shouyuk,mention
136,InfieldChatter,mention
137,OpeningDay,hashtag
138,JSMarisnick,mention
139,SIUEFA,hashtag
140,openingday,hashtag
141,anniemclemore_,mention
142,g1Drummer,mention
143,HoustonTexans,mention
144,karbachbrewing,mention
145,brizzdizz,mention
146,AstrosRadioMLB,mention
147,JTJakubik21,mention
148,CopierCollin,mention
149,smcd8316,mention
150,chevrolet,mention
151,content,hashtag
152,HouCounterplot,mention
153,RaysBaseball,mention
154,NewSeasonNewFlavor,hashtag
155,LetTheKidsPlay,hashtag
156,thegabe90,mention
157,OrbitAstros,mention
158,padavies3,mention
159,76Bushmaster,mention
160,fido050504,mention
161,bee_n_dashmama,mention
162,shannonbullock_,mention
163,MotorOn,hashtag
164,andiemunro,mention
165,kuhnperalta,mention
166,PennyPoptarts,mention
167,Lions,mention
168,pmurch87,mention
169,therealyappster,mention
170,MissShineATX,mention
171,FOXSportsDet,mention
172,BellSammy,mention
173,tigers_memes,mention
174,Sling,mention
175,Reverend_Wes,mention
176,Cyn190,mention
177,themanwho66,mention
178,mike_marshall11,mention
179,lmr88,mention
180,27cc40a7ee3a402,mention
181,natalia_lasorda,mention
182,DanielNorris18,mention
183,ETNreisenweber,mention
184,erie_seawolves,mention
185,newt928,mention
186,tjlove_sofunny,mention
187,patrickjdaly2,mention
188,pamela_alida,mention
189,DetroitTha313,mention
190,DetroitTigersPR,mention
191,ENNGaryDrapcho,mention
192,ENNJohnLydic,mention
193,JET24Sports,mention
194,kevisaskiaddict,mention
195,MLBTV,mention
196,971theticketxyt,mention
197,tomweideman,mention
198,rymwitty,mention
199,Joel_Fritsma,mention
200,DropkickMurphys,mention
201,ChrisChrisb777,mention
202,TBT,hashtag
203,tigers,mention
204,RoadToDetroit,hashtag
205,Casey_Mize,mention
206,ClubSeries,hashtag
207,bhymother,mention
208,Jay69857678,mention
209,Mim5453,mention
210,LoriAnnGazella,mention
211,DBoiv14,mention
212,Gail_in_VA,mention
213,MiguelCabrera,mention
214,asouthfield44,mention
215,karamarie110,mention
216,helmerroids,mention
217,JrzGrlinNC,mention
218,MudHens,mention
219,zeppelindave,mention
220,ggreiner21,mention
221,Detroit67532146,mention
222,RubinSimpson,mention
223,msanders_tps,mention
224,RoryGingrich,mention
225,coppolawine,mention
226,AlwaysYourTiger,mention
227,AndiJMullin,mention
228,Jack_Cardinal,mention
229,Evan_C_Kennedy,mention
230,RedSox,mention
231,BradGalli,mention
232,FaedoAlex,mention
233,WOODTV,mention
234,jackdoles,mention
235,UltimateLonnie,mention
236,Nicklewisss5,mention
237,wgchurchilljr,mention
238,StephenChesser0,mention
239,Kerryon,mention
240,katealawrence_,mention
241,MichSoS,mention
242,DetroitPistons,mention
243,DetroitRedWings,mention
244,iamtrevort,mention
245,EmanuelSamaan99,mention
246,Danabaker91,mention
247,EasternLeague,mention
248,SeaWolvesGM,mention
249,GirlNamedBoston,mention
250,sagreeney,mention
251,Erynn_Johnson41,mention
252,drewcarlton12,mention
253,SChosay,mention
254,MattManning19,mention
255,Tigers,hashtag
256,spookygouhlx,mention
257,SusanFreebern,mention
258,_badix,mention
259,LeeTsports,mention
260,Jacob_Schu_24,mention
261,JamesStDenis_,mention
262,CurmudgeonFront,mention
263,boydbren22,mention
264,WallpaperWednesday,hashtag
265,TigersJUK,mention
266,TigersWIN,hashtag
267,ZJezioro_13,mention
268,_BulldogBentley,mention
269,spencerturnbull,mention
270,goldenearthtv,mention
271,Walsha89,mention
272,CplSimba,mention
273,Gavin_Vantyson,mention
274,tigers_town,mention
275,YabbaDabbaWoo,mention
276,mdjaxon,mention
277,DestroyAllBeets,mention
278,Joshie263,mention
279,CallMe_Stubs,mention
280,dlpotter4,mention
281,MISports99,mention
282,Ravensrgreat,mention
283,JRDurs,mention
284,CrazyFanTakes,mention
285,OldTakesExposed,mention
286,ltwhale,mention
287,mams33,mention
288,fritzklug,mention
289,InsuranceRunsAreFun,hashtag
290,leaveittolauren,mention
291,realrdiii,mention
292,MichiganRisen,mention
293,jwsanderson_,mention
294,hooverdetroit,mention
295,konapel,mention
296,youphilmedu,mention
297,kristinmoeg,mention
298,peacesignpam,mention
299,PeteTheRN,mention
300,leighanniem,mention
301,HughJhardon,mention
302,DtownSportsChat,mention
303,twinkletoes313,mention
304,kbonk28,mention
305,danielstumpf45,mention
306,BKlounger22,mention
307,OrigDixon,mention
308,Hammoud_73,mention
309,jaredkatz3,mention
310,haileygirl10,mention
311,nicodemuszoo,mention
312,dclynick66,mention
313,ItsZainDu,mention
314,TitusTiger,mention
315,scots71,mention
316,starwars,mention
317,MistypedMike,mention
318,katieb1411,mention
319,jawillia11,mention
320,JoeBoo3,mention
321,3m3h3n,mention
322,LuckyHumanist,mention
323,Joeinblack,mention
324,RizzoReport,mention
325,DonMartin23,mention
326,SteveB2534,mention
327,HummusIsHome,mention
328,NYYDETBOY27,mention
329,robbyhooker,mention
330,MLBPipeline,mention
331,Jaypers413,mention
332,Bossyred,mention
333,fntsysportsbum,mention
334,cvanhamme,mention
335,thatguynamedbb,mention
336,tacobell,mention
337,lwoodjr_,mention
338,TFerrari64,mention
339,Big_Gorzey,mention
340,Tiger_Lifer,mention
341,EmilyCWaldon,mention
342,RoseanneVeizer,mention
343,423gray,mention
344,meggocallaghan,mention
345,evanliebau,mention
346,SalsaEvan,mention
347,mattboyd48,mention
348,Ryanmath20,mention
349,petersagal,mention
350,MickiMaynard,mention
351,Tigersfan706,mention
352,jhay_da_man,mention
353,MattMcCarthy74,mention
354,aldoco24,mention
355,cfm1793,mention
356,cmccosky,mention
357,lionsprincess18,mention
358,ylichterman,mention
359,N8VTootie,mention
360,LkdFlyingTigers,mention
361,MLBNetwork,mention
362,MLBStats,mention
363,Twins,mention
364,dPetey8,mention
365,joevaillancourt,mention
366,FloridaStateLg,mention
367,seideljeff,mention
368,sherricousin,mention
369,matthewphotos3,mention
370,mmtgyea69,mention
371,DarleenLaPaglia,mention
372,jimtreacyjr,mention
373,Gucci_Gotch,mention
